,User,CouponCode,Category,SubCategory,Type,Company,Redeemed,CouponDiscount,AmountSpent,Clicked,TimeStamp
1698,41-8608803,REAP-ETH-SOA-10,RETAIL_APPAREL,ETHINICWEAR,KURTA,SOACH,1,10,950,0,2020-07-07 14:41:22
1699,46-1683050,REAP-COS-GAR-20,RETAIL_APPAREL,COSMETICS,CREAM,GARNIER,1,20,1050,0,2020-01-08 04:51:17
1700,79-7551035,TRAV-AIR-TOM-20,TRAVEL,AIR,INTERNATIONAL,TOM&COOKS,1,20,6050,1,2019-09-19 16:54:20
1701,72-1288409,REAP-ACC-MAR-20,RETAIL_APPAREL,ACCESSORIES,TIE,MARKS&SPENCER,0,20,1500,0,2019-08-21 13:26:29
1702,55-7019961,REAP-COS-YAR-20,RETAIL_APPAREL,COSMETICS,POWDER,YARDLEY,1,20,1050,0,2020-02-19 10:21:24
1703,63-3917609,TRAV-RAI-MRD-30,TRAVEL,RAILLWAY,TRAM,MRDC,1,30,20700,1,2022-02-01 19:19:28
1704,86-3355965,ENTE-CON-OPE-25,ENTERTAINMENT,CONCERTS,OPERA,OPERAHOUSE,1,25,1650,1,2018-08-08 19:27:27
1705,65-4514890,REAP-MEN-VAN-25,RETAIL_APPAREL,MENSWESTERNWEAR,SUIT,VANHUESSEN,1,25,1700,1,2020-01-08 12:25:55
1706,98-2890115,ELEC-MIN-SAM-20,ELECTRONIC,MINIAPPLIANCES,SPEAKER,SAMSUNG,0,20,1750,0,2021-12-27 22:47:03
1707,39-7021763,ELEC-BIG-LG-30,ELECTRONIC,BIGAPPLIANCES,WASHINGMACHINE,LG,1,30,3650,1,2020-09-13 02:32:16
1708,44-3881539,TRAV-ROA-OLA-40,TRAVEL,ROAD,TAXI,OLA,0,40,34500,1,2021-08-04 12:38:04
1709,30-6000856,ELEC-BIG-SAM-10,ELECTRONIC,BIGAPPLIANCES,WASHINGMACHINE,SAMSUNG,0,10,1150,0,2018-04-29 04:19:49
1710,20-7734700,FOBV-CON-MIN-20,FOOD_BEVERAGES,CONTINENTAL,SPAGHETTI,MINIITTILA,0,20,700,1,2020-12-26 11:09:35
1711,22-9161954,FOBV-FAS-JOE-20,FOOD_BEVERAGES,FASTFOOD,PIZZA,JOEY,0,20,550,1,2019-12-14 20:07:54
1712,57-6767318,REAP-LAD-ZAR-20,RETAIL_APPAREL,LADIESWESTERNWEAR,TOP,ZARA,0,20,1050,0,2019-10-15 06:41:09
1713,10-7088314,FOBV-WAR-BRE-10,FOOD_BEVERAGES,WARMDRINKS,COFFEE,BREW,1,10,250,1,2019-04-20 07:53:41
1714,30-2796558,TRAV-ROA-BOO-40,TRAVEL,ROAD,TEMPO,BOOKMYTRIP,1,40,37950,0,2021-12-16 18:53:11
1715,87-3679239,TRAV-AIR-TOM-30,TRAVEL,AIR,INTERNATIONAL,TOM&COOKS,1,30,20550,1,2020-01-25 10:48:52
1716,86-4471610,ENTE-EVE-IEE-10,ENTERTAINMENT,EVENTS,TECHCONFERENCE,IEEE,0,10,500,1,2020-10-23 10:12:39
1717,52-1527793,ENTE-SPO-RED-10,ENTERTAINMENT,SPORTS,BASEBALL,REDSOAX,1,10,700,1,2021-10-01 19:19:39
1718,88-9124017,REAP-COS-SHI-30,RETAIL_APPAREL,COSMETICS,GEL,SHINE,1,30,1800,1,2022-03-06 00:12:05
1719,13-5733729,FOBV-WAR-RED-10,FOOD_BEVERAGES,WARMDRINKS,TEA,REDLABEL,1,10,350,1,2022-02-11 22:28:15
1720,17-2076455,FOBV-WAR-NES-20,FOOD_BEVERAGES,WARMDRINKS,COFFEE,NESCAFE,0,20,750,0,2021-02-12 16:22:05
1721,79-5835529,TRAV-ROA-OLA-40,TRAVEL,ROAD,TAXI,OLA,1,40,42250,0,2021-04-10 19:50:56
1722,50-4785814,ENTE-MOV-PVR-10,ENTERTAINMENT,MOVIE,HINDI,PVR,1,10,600,0,2019-06-22 13:16:36
1723,77-9538977,TRAV-WAT-CNT-45,TRAVEL,WATER,FERRI,CNTTRAVEL,1,45,42650,0,2020-04-18 18:31:55
1724,14-0682450,REAP-ACC-NIK-30,RETAIL_APPAREL,ACCESSORIES,SHOES,NIKE,1,30,1850,0,2021-05-05 11:41:10
1725,87-6767394,FOBV-ALC-JHO-20,FOOD_BEVERAGES,ALCOHOL,WHISKEY,JHONIEE,1,20,700,1,2020-05-27 21:53:54
1726,29-2939110,REAP-ETH-MCR-20,RETAIL_APPAREL,ETHINICWEAR,DHOTI,MCR,1,20,1300,0,2021-03-13 11:00:30
1727,43-0973834,REAP-ETH-MCR-10,RETAIL_APPAREL,ETHINICWEAR,DHOTI,MCR,1,10,650,0,2021-06-18 21:08:19
1728,57-8234888,TRAV-AIR-IND-35,TRAVEL,AIR,DOMESTIC,INDIGO,1,35,28400,0,2019-11-09 11:31:07
1729,21-4511120,ENTE-CAR-KID-20,ENTERTAINMENT,CARNIVAL,FUNFAIR,KIDSSPECIAL,1,20,1250,1,2018-04-17 17:50:23
1730,04-3339897,REAP-COS-SHI-10,RETAIL_APPAREL,COSMETICS,GEL,SHINE,0,10,550,0,2018-03-14 08:54:36
1731,13-9612206,FOBV-ALC-BAC-10,FOOD_BEVERAGES,ALCOHOL,RUM,BACARDI,1,10,250,1,2021-01-13 07:19:01
1732,16-9881143,ELEC-MIN-SAM-35,ELECTRONIC,MINIAPPLIANCES,TABLET,SAMSUNG,0,35,3950,0,2019-10-08 19:25:09
1733,89-5837691,ENTE-MOV-CIN-10,ENTERTAINMENT,MOVIE,REGIONAL,CINEPOLIS,1,10,300,0,2019-06-01 01:21:07
1734,96-5995351,TRAV-AIR-TOM-20,TRAVEL,AIR,INTERNATIONAL,TOM&COOKS,0,20,11400,1,2020-10-31 16:41:09
1735,23-1806046,ENTE-CON-PVR-20,ENTERTAINMENT,CONCERTS,CLASICAL,PVR,1,20,1600,0,2021-04-09 23:20:27
1736,44-4490859,FOBV-FAS-PVR-10,FOOD_BEVERAGES,FASTFOOD,BURGERS,PVR,0,10,150,0,2019-04-12 22:17:50
1737,74-3329465,ENTE-CON-REG-10,ENTERTAINMENT,CONCERTS,INDIAN,REGAL,0,10,550,1,2022-05-17 12:04:45
1738,18-4368236,TRAV-ROA-OLA-40,TRAVEL,ROAD,TAXI,OLA,1,40,34550,0,2018-03-08 23:28:16
1739,73-2084397,REAP-ETH-ZAH-20,RETAIL_APPAREL,ETHINICWEAR,SAREE,ZAHIRA,1,20,1250,1,2018-08-18 22:44:23
1740,27-7273729,FOBV-SOF-COC-10,FOOD_BEVERAGES,SOFTDRINKS,LIME,COCOCOLA,1,10,250,0,2022-05-05 12:17:44
1741,21-1563996,ENTE-MOV-INO-20,ENTERTAINMENT,MOVIE,FORIEGN,INOX,1,20,1100,0,2018-11-14 00:31:35
1742,69-6674775,ENTE-MOV-INO-10,ENTERTAINMENT,MOVIE,HINDI,INOX,0,10,600,0,2022-05-05 03:11:13
1743,96-3507335,ENTE-EVE-TEC-10,ENTERTAINMENT,EVENTS,EXHIBITION,TECHNOCRATS,1,10,450,0,2022-01-26 04:34:45
1744,58-3139672,ELEC-BIG-CRO-20,ELECTRONIC,BIGAPPLIANCES,MICROWAVE,CROMA,0,20,1950,1,2019-05-18 23:56:09
1745,27-5002233,TRAV-RAI-MRD-40,TRAVEL,RAILLWAY,TRAM,MRDC,1,40,37150,1,2020-04-24 21:39:30
1746,77-7098918,TRAV-ROA-STA-20,TRAVEL,ROAD,BUS,STATETRAVELLER,1,20,9750,0,2020-01-11 15:13:27
1747,67-0272229,ENTE-SPO-IPL-20,ENTERTAINMENT,SPORTS,CRICKET,IPL,0,20,1500,0,2019-03-25 19:36:38
1748,81-3993616,ENTE-MOV-CIN-20,ENTERTAINMENT,MOVIE,HINDI,CINEPOLIS,1,20,1400,0,2020-05-28 15:41:42
1749,55-6799578,ELEC-BIG-CRO-40,ELECTRONIC,BIGAPPLIANCES,MICROWAVE,CROMA,0,40,4200,0,2020-04-05 17:24:59
1750,11-2919051,FOBV-WAR-BRE-20,FOOD_BEVERAGES,WARMDRINKS,COFFEE,BREW,0,20,500,1,2021-06-13 12:24:13
1751,55-5614060,TRAV-ROA-TOM-30,TRAVEL,ROAD,BUS,TOM&COOKS,1,30,21800,1,2018-08-13 07:19:27
1752,22-0326432,TRAV-AIR-TOM-30,TRAVEL,AIR,INTERNATIONAL,TOM&COOKS,1,30,26550,0,2020-02-22 15:41:01
1753,22-8147065,FOBV-SOF-BIG-10,FOOD_BEVERAGES,SOFTDRINKS,COLA,BIGCOLA,1,10,200,0,2018-02-19 02:44:57
1754,67-3058582,ENTE-SPO-ISL-20,ENTERTAINMENT,SPORTS,FOOTBALL,ISL,1,20,1100,0,2022-04-03 14:06:25
1755,68-5955959,ENTE-CON-REG-5,ENTERTAINMENT,CONCERTS,INDIAN,REGAL,1,5,250,0,2018-03-26 06:21:00
1756,06-7950055,ELEC-MIN-BOA-25,ELECTRONIC,MINIAPPLIANCES,EARPHONE,BOAT,0,25,2800,1,2018-02-14 14:55:07
1757,78-4463423,ENTE-MOV-PVR-20,ENTERTAINMENT,MOVIE,REGIONAL,PVR,0,20,1000,0,2020-02-21 14:47:28
1758,03-5663663,ENTE-SPO-FIF-20,ENTERTAINMENT,SPORTS,FOOTBALL,FIFA,1,20,1250,0,2021-07-17 23:47:52
1759,17-3092259,REAP-LAD-H&M-20,RETAIL_APPAREL,LADIESWESTERNWEAR,SKIRT,H&M,1,20,1600,0,2021-07-08 13:49:07
1760,08-0818164,TRAV-ROA-BOO-50,TRAVEL,ROAD,BUS,BOOKMYTRIP,1,50,47050,0,2021-10-26 10:18:09
1761,91-4905332,FOBV-SOF-PEP-30,FOOD_BEVERAGES,SOFTDRINKS,LIME,PEPSI,0,30,900,1,2022-01-23 09:54:29
1762,25-1063762,FOBV-SOF-PEP-20,FOOD_BEVERAGES,SOFTDRINKS,COLA,PEPSI,0,20,700,1,2021-07-14 16:05:47
1763,72-5803263,REAP-MEN-CHE-20,RETAIL_APPAREL,MENSWESTERNWEAR,BLAZZER,CHECKUPS,0,20,1050,1,2020-11-27 16:39:14
1764,39-9067370,REAP-COS-YAR-20,RETAIL_APPAREL,COSMETICS,POWDER,YARDLEY,1,20,1400,0,2021-03-03 01:06:30
1765,94-0342182,TRAV-RAI-IRC-30,TRAVEL,RAILLWAY,INTERSTATETRAIN,IRCTC,0,30,14650,1,2020-03-30 05:53:12
1766,35-5853262,TRAV-ROA-TOM-40,TRAVEL,ROAD,BUS,TOM&COOKS,1,40,35900,0,2018-02-06 08:26:07
1767,03-5663663,FOBV-WAR-SOC-20,FOOD_BEVERAGES,WARMDRINKS,TEA,SOCIETY,1,20,750,1,2021-03-05 06:19:22
1768,94-3140565,REAP-LAD-H&M-25,RETAIL_APPAREL,LADIESWESTERNWEAR,PANTWOMEN,H&M,0,25,1700,0,2021-10-27 23:38:22
1769,67-0808831,TRAV-ROA-UBE-20,TRAVEL,ROAD,TAXI,UBER,1,20,5900,0,2020-12-08 19:46:01
1770,61-4117292,TRAV-ROA-UBE-40,TRAVEL,ROAD,VEHICLE,UBER,0,40,39750,0,2018-03-27 11:57:12
1771,21-1320826,REAP-ETH-MCR-20,RETAIL_APPAREL,ETHINICWEAR,DHOTI,MCR,1,20,1050,1,2020-05-21 02:01:14
1772,70-6039996,ELEC-BIG-SON-30,ELECTRONIC,BIGAPPLIANCES,TV,SONY,1,30,3200,1,2021-05-21 11:10:22
1773,06-2633424,TRAV-ROA-TOM-50,TRAVEL,ROAD,BUS,TOM&COOKS,1,50,47200,0,2020-11-05 17:35:25
1774,85-9995969,FOBV-CON-CHE-10,FOOD_BEVERAGES,CONTINENTAL,PASTA,CHEFCHOICE,1,10,150,0,2021-11-05 01:49:24
1775,88-6180209,ENTE-MOV-MOV-30,ENTERTAINMENT,MOVIE,HINDI,MOVIETIME,1,30,1750,0,2020-12-23 17:25:47
1776,35-9693878,FOBV-CON-IMB-20,FOOD_BEVERAGES,CONTINENTAL,EUROPEAN,IMBISS,1,20,800,0,2018-10-20 16:53:42
1777,47-5043414,ELEC-BIG-CRO-30,ELECTRONIC,BIGAPPLIANCES,MICROWAVE,CROMA,1,30,3650,0,2020-11-11 23:48:25
1778,15-8700159,ELEC-BIG-SAM-25,ELECTRONIC,BIGAPPLIANCES,FRIDGE,SAMSUNG,0,25,2800,0,2019-07-06 19:05:04
1779,89-3988065,FOBV-FAS-JOE-20,FOOD_BEVERAGES,FASTFOOD,PIZZA,JOEY,0,20,600,0,2021-05-08 07:22:12
1780,86-8267630,TRAV-WAT-M2M-30,TRAVEL,WATER,FERRI,M2M,1,30,15650,0,2018-11-17 20:45:05
1781,70-9960175,FOBV-FAS-DOM-20,FOOD_BEVERAGES,FASTFOOD,PIZZA,DOMINO,0,20,650,1,2021-04-15 18:36:25
1782,10-6825786,REAP-LAD-PLE-30,RETAIL_APPAREL,LADIESWESTERNWEAR,DRESS,PLEATO,0,30,1800,1,2022-05-19 09:39:49
1783,20-5601570,FOBV-FAS-PVR-10,FOOD_BEVERAGES,FASTFOOD,BURGERS,PVR,1,10,200,0,2021-10-06 16:20:43
1784,35-7562589,TRAV-ROA-UBE-20,TRAVEL,ROAD,TAXI,UBER,0,20,6850,1,2022-04-24 16:01:19
1785,81-1701756,FOBV-WAR-NES-20,FOOD_BEVERAGES,WARMDRINKS,COFFEE,NESCAFE,1,20,500,0,2022-03-16 19:29:44
1786,35-2053322,REAP-COS-GAR-20,RETAIL_APPAREL,COSMETICS,GEL,GARNIER,1,20,1550,1,2020-03-23 22:02:10
1787,06-0975417,FOBV-FAS-BUR-10,FOOD_BEVERAGES,FASTFOOD,BURGERS,BURGERKING,0,10,100,0,2022-04-01 05:42:56
1788,81-1124743,ELEC-BIG-LG-40,ELECTRONIC,BIGAPPLIANCES,MICROWAVE,LG,1,40,4550,0,2021-09-21 01:52:09
1789,93-5196799,ENTE-MOV-INO-20,ENTERTAINMENT,MOVIE,HINDI,INOX,1,20,1500,0,2022-02-12 18:05:46
1790,24-7692601,ENTE-MOV-PVR-20,ENTERTAINMENT,MOVIE,ENGLISH,PVR,1,20,1100,0,2020-02-21 21:35:51
1791,65-8406796,FOBV-WAR-RED-20,FOOD_BEVERAGES,WARMDRINKS,TEA,REDLABEL,0,20,550,1,2018-06-15 22:11:53
1792,72-0804200,TRAV-WAT-M2M-20,TRAVEL,WATER,CRUISE,M2M,0,20,8350,0,2018-03-03 09:15:00
1793,89-9883954,TRAV-AIR-GOI-50,TRAVEL,AIR,INTERNATIONAL,GOIBIBO,0,50,44350,0,2018-02-06 12:52:20
1794,29-5197684,ELEC-BIG-LG-40,ELECTRONIC,BIGAPPLIANCES,MICROWAVE,LG,1,40,4400,1,2020-10-28 20:25:22
1795,06-2968966,TRAV-RAI-BOO-50,TRAVEL,RAILLWAY,DAILYTRAIN,BOOKMYTRIP,1,50,46750,1,2018-04-07 01:35:12
1796,65-7230574,ENTE-MOV-CIN-20,ENTERTAINMENT,MOVIE,ENGLISH,CINEPOLIS,1,20,1450,1,2018-04-30 05:37:41
1797,10-6838626,REAP-LAD-ZAR-20,RETAIL_APPAREL,LADIESWESTERNWEAR,SKIRT,ZARA,0,20,1450,0,2019-11-14 06:09:00
1798,82-5624790,ELEC-MIN-DEL-20,ELECTRONIC,MINIAPPLIANCES,LAPTOP,DELL,1,20,2450,0,2021-06-03 15:26:59
1799,92-4170507,ELEC-BIG-LG-30,ELECTRONIC,BIGAPPLIANCES,MICROWAVE,LG,0,30,2900,0,2022-05-28 02:37:20
1800,38-6334802,FOBV-WAR-TAT-20,FOOD_BEVERAGES,WARMDRINKS,TEA,TATA,0,20,550,0,2018-10-28 19:49:05
1801,56-4348533,REAP-MEN-CHE-10,RETAIL_APPAREL,MENSWESTERNWEAR,BLAZZER,CHECKUPS,0,10,600,1,2022-02-01 21:11:58
1802,18-4451848,TRAV-WAT-YAT-30,TRAVEL,WATER,CRUISE,YATRA,0,30,19650,0,2018-02-03 11:35:47
1803,71-3644747,REAP-ETH-GLO-10,RETAIL_APPAREL,ETHINICWEAR,KURTA,GLOABALDESTINATION,1,10,900,1,2019-12-02 22:56:39
1804,62-4693881,FOBV-SOF-COC-5,FOOD_BEVERAGES,SOFTDRINKS,LIME,COCOCOLA,1,5,50,1,2020-11-19 05:41:22
1805,87-9056858,TRAV-WAT-COR-40,TRAVEL,WATER,CRUISE,CORDELIA,0,40,30600,0,2018-08-12 01:35:53
1806,73-2335301,TRAV-ROA-RAP-30,TRAVEL,ROAD,VEHICLE,RAPIDO,1,30,22200,1,2020-11-14 23:13:17
1807,55-9927202,ELEC-BIG-SON-40,ELECTRONIC,BIGAPPLIANCES,TV,SONY,1,40,4950,1,2019-11-17 06:52:57
1808,22-0326432,ENTE-CON-NAR-15,ENTERTAINMENT,CONCERTS,OPERA,NARIMANHOUSE,1,15,950,0,2020-04-06 08:46:26
1809,70-7583702,FOBV-SOF-PEP-15,FOOD_BEVERAGES,SOFTDRINKS,ORANGE,PEPSI,0,15,450,0,2018-09-13 23:54:06
1810,40-5094568,ENTE-EVE-IND-20,ENTERTAINMENT,EVENTS,BUSINESSCONCLAVE,INDIABUSINESS,0,20,1300,1,2020-06-27 10:46:40
1811,00-7033185,FOBV-ALC-BAR-10,FOOD_BEVERAGES,ALCOHOL,RUM,BARCELO,1,10,400,1,2019-10-06 04:49:03
1812,14-1388389,ENTE-SPO-IPL-30,ENTERTAINMENT,SPORTS,CRICKET,IPL,1,30,1800,0,2021-07-10 01:12:13
1813,10-2931298,ELEC-BIG-LG-30,ELECTRONIC,BIGAPPLIANCES,TV,LG,1,30,3700,0,2021-04-08 05:36:21
1814,28-9716408,TRAV-AIR-TOM-40,TRAVEL,AIR,DOMESTIC,TOM&COOKS,1,40,33250,1,2019-07-20 13:50:00
1815,88-8434491,TRAV-RAI-BOO-30,TRAVEL,RAILLWAY,DAILYTRAIN,BOOKMYTRIP,1,30,21300,1,2020-06-14 00:24:38
1816,70-3653330,REAP-COS-LAC-20,RETAIL_APPAREL,COSMETICS,CREAM,LAC,0,20,1350,0,2019-11-25 23:51:54
1817,50-6169789,FOBV-FAS-CHE-20,FOOD_BEVERAGES,FASTFOOD,SANDWHICH,CHEEZILA,0,20,550,0,2018-05-08 00:36:12
1818,33-3805553,ENTE-MUS-NAT-20,ENTERTAINMENT,MUSEUMS,HISTORY,NATIONALMUSEUMOFINDIA,1,20,1250,1,2020-02-27 09:33:47
1819,08-0993079,FOBV-SOF-COC-30,FOOD_BEVERAGES,SOFTDRINKS,ORANGE,COCOCOLA,0,30,900,0,2019-05-23 06:36:58
1820,51-7168597,ELEC-BIG-LG-40,ELECTRONIC,BIGAPPLIANCES,TV,LG,1,40,4900,0,2018-03-23 04:31:06
1821,33-8207563,ELEC-BIG-LG-20,ELECTRONIC,BIGAPPLIANCES,MICROWAVE,LG,1,20,2450,0,2022-04-21 06:05:45
1822,22-8147065,TRAV-RAI-MUM-50,TRAVEL,RAILLWAY,METRO,MUMBAIMETRO,1,50,48300,0,2018-12-09 14:12:16
1823,30-6000856,ELEC-BIG-SON-35,ELECTRONIC,BIGAPPLIANCES,TV,SONY,1,35,3950,1,2020-02-18 10:29:37
1824,32-2817020,ENTE-EVE-IND-20,ENTERTAINMENT,EVENTS,BUSINESSCONCLAVE,INDIABUSINESS,1,20,1100,0,2018-08-28 19:11:22
1825,22-8436088,TRAV-RAI-IND-30,TRAVEL,RAILLWAY,DAILYTRAIN,INDIANRAIL,0,30,22850,0,2019-08-02 00:42:44
1826,78-4463423,ENTE-SPO-IPL-20,ENTERTAINMENT,SPORTS,CRICKET,IPL,1,20,1550,1,2022-01-18 00:24:53
1827,50-2019006,ELEC-MIN-DEL-40,ELECTRONIC,MINIAPPLIANCES,LAPTOP,DELL,1,40,4200,0,2020-01-17 17:01:10
1828,71-4757965,ELEC-MIN-SAM-10,ELECTRONIC,MINIAPPLIANCES,MOBILE,SAMSUNG,0,10,1500,0,2018-02-12 02:07:19
1829,63-3132981,REAP-ACC-PEO-20,RETAIL_APPAREL,ACCESSORIES,RINGS,PEORA,1,20,1250,1,2021-01-24 13:27:01
1830,26-7271559,FOBV-FAS-CHI-20,FOOD_BEVERAGES,FASTFOOD,BURGERS,CHIPOTLE,1,20,500,1,2019-04-07 20:55:45
1831,48-3811826,FOBV-WAR-TAT-20,FOOD_BEVERAGES,WARMDRINKS,COFFEE,TATA,0,20,500,0,2021-03-07 22:36:26
1832,25-5765260,TRAV-ROA-BOO-30,TRAVEL,ROAD,BUS,BOOKMYTRIP,0,30,15100,0,2018-02-03 11:27:30
1833,04-2238235,REAP-ETH-FAB-10,RETAIL_APPAREL,ETHINICWEAR,SALVAAR,FABINDIA,1,10,650,0,2022-04-30 05:10:14
1834,19-4380574,ENTE-MOV-INO-10,ENTERTAINMENT,MOVIE,HINDI,INOX,1,10,450,1,2018-03-25 01:49:51
1835,84-6567700,ELEC-MIN-SON-20,ELECTRONIC,MINIAPPLIANCES,SPEAKER,SONY,1,20,2550,1,2018-07-10 15:41:45
1836,96-5357035,ENTE-CON-PVR-20,ENTERTAINMENT,CONCERTS,CLASICAL,PVR,1,20,1500,1,2020-06-21 04:10:19
1837,69-8254244,TRAV-ROA-UBE-40,TRAVEL,ROAD,TAXI,UBER,0,40,40400,0,2018-11-25 11:29:08
1838,96-6788545,ENTE-EVE-BOM-20,ENTERTAINMENT,EVENTS,EXHIBITION,BOMBAYART,0,20,1450,0,2020-01-01 08:08:29
1839,38-3189367,FOBV-SOF-SKI-20,FOOD_BEVERAGES,SOFTDRINKS,COLA,SKIPPY,1,20,800,0,2019-04-24 20:18:21
1840,59-0726607,FOBV-WAR-BRE-10,FOOD_BEVERAGES,WARMDRINKS,COFFEE,BREW,0,10,300,0,2019-10-26 09:26:16
1841,75-3745088,ENTE-SPO-ISL-10,ENTERTAINMENT,SPORTS,FOOTBALL,ISL,1,10,900,0,2020-06-18 12:40:51
1842,34-9314904,FOBV-ALC-JHO-30,FOOD_BEVERAGES,ALCOHOL,WHISKEY,JHONIEE,1,30,900,0,2020-03-07 06:25:30
1843,69-2366504,TRAV-AIR-GOI-20,TRAVEL,AIR,DOMESTIC,GOIBIBO,1,20,8250,0,2019-02-15 22:51:25
1844,21-2243941,REAP-COS-GAR-10,RETAIL_APPAREL,COSMETICS,CREAM,GARNIER,1,10,850,1,2018-09-15 04:07:31
1845,75-9100963,FOBV-FAS-CHE-10,FOOD_BEVERAGES,FASTFOOD,SANDWHICH,CHEEZILA,1,10,150,0,2018-05-02 23:56:57
1846,73-0181038,TRAV-RAI-IND-30,TRAVEL,RAILLWAY,DAILYTRAIN,INDIANRAIL,1,30,25650,1,2021-09-17 12:58:02
1847,93-8131586,ENTE-SPO-ISL-10,ENTERTAINMENT,SPORTS,FOOTBALL,ISL,0,10,450,0,2020-08-06 10:24:52
1848,57-0745146,TRAV-RAI-MRD-40,TRAVEL,RAILLWAY,TRAM,MRDC,1,40,39100,1,2021-10-13 17:48:56
1849,07-1329508,FOBV-CON-MIN-30,FOOD_BEVERAGES,CONTINENTAL,SPAGHETTI,MINIITTILA,1,30,900,1,2018-02-12 20:25:02
1850,96-5881676,ELEC-BIG-IGE-15,ELECTRONIC,BIGAPPLIANCES,FRIDGE,IGENERAL,1,15,1600,0,2021-09-12 20:49:28
1851,20-4685560,REAP-ETH-COL-30,RETAIL_APPAREL,ETHINICWEAR,SALVAAR,COLORSOFINDIA,1,30,1850,0,2022-01-29 14:20:32
1852,15-9850946,FOBV-ALC-JHO-30,FOOD_BEVERAGES,ALCOHOL,WHISKEY,JHONIEE,1,30,950,0,2021-12-13 06:55:23
1853,92-7434838,TRAV-AIR-BOO-25,TRAVEL,AIR,DOMESTIC,BOOKMYTRIP,0,25,13900,0,2018-01-22 22:02:24
1854,70-1669293,ELEC-BIG-LG-40,ELECTRONIC,BIGAPPLIANCES,TV,LG,0,40,4900,1,2020-10-17 00:26:10
1855,39-9765731,TRAV-RAI-MRD-35,TRAVEL,RAILLWAY,TRAM,MRDC,1,35,27650,0,2020-11-01 01:49:00
1856,18-7877751,FOBV-SOF-COC-10,FOOD_BEVERAGES,SOFTDRINKS,LIME,COCOCOLA,0,10,300,0,2018-06-07 14:54:24
1857,47-1158403,ELEC-BIG-LG-40,ELECTRONIC,BIGAPPLIANCES,TV,LG,0,40,4000,0,2020-10-13 22:47:27
1858,74-3329465,FOBV-FAS-SUB-10,FOOD_BEVERAGES,FASTFOOD,SANDWHICH,SUBWAY,1,10,150,0,2018-09-11 19:35:57
1859,24-4215928,TRAV-RAI-MUM-40,TRAVEL,RAILLWAY,DAILYTRAIN,MUMBAILOCAL,1,40,40850,0,2021-07-09 04:16:06
1860,17-6163596,TRAV-ROA-UBE-35,TRAVEL,ROAD,TAXI,UBER,1,35,27750,0,2021-03-06 05:37:54
1861,92-7434838,ELEC-BIG-SAM-20,ELECTRONIC,BIGAPPLIANCES,FRIDGE,SAMSUNG,1,20,2200,1,2019-12-08 18:50:23
1862,75-1216546,TRAV-WAT-YAT-30,TRAVEL,WATER,CRUISE,YATRA,1,30,26350,0,2021-07-13 17:55:55
1863,06-7950055,FOBV-ALC-JHO-20,FOOD_BEVERAGES,ALCOHOL,WHISKEY,JHONIEE,1,20,500,1,2020-08-31 20:11:04
1864,40-4619012,ENTE-MOV-INO-30,ENTERTAINMENT,MOVIE,FORIEGN,INOX,0,30,1900,0,2020-08-26 22:10:21
1865,18-4368236,FOBV-ALC-BAR-10,FOOD_BEVERAGES,ALCOHOL,RUM,BARCELO,1,10,250,0,2018-11-24 07:40:56
1866,18-7851237,REAP-COS-MYG-10,RETAIL_APPAREL,COSMETICS,POLISH,MYGLAMM,1,10,700,1,2021-11-18 22:46:46
1867,92-9425449,ENTE-MOV-PVR-10,ENTERTAINMENT,MOVIE,ENGLISH,PVR,1,10,700,0,2019-06-20 08:46:44
1868,25-0569853,FOBV-SOF-SKI-30,FOOD_BEVERAGES,SOFTDRINKS,COLA,SKIPPY,1,30,850,0,2020-08-25 03:00:16
1869,02-1830170,FOBV-WAR-NES-20,FOOD_BEVERAGES,WARMDRINKS,COFFEE,NESCAFE,1,20,600,1,2019-10-08 19:37:49
1870,26-1746863,ENTE-CON-OPE-30,ENTERTAINMENT,CONCERTS,CLASICAL,OPERAHOUSE,0,30,1900,1,2019-11-03 08:02:37
1871,58-8197773,TRAV-AIR-BOO-40,TRAVEL,AIR,DOMESTIC,BOOKMYTRIP,1,40,29750,0,2021-03-21 17:57:05
1872,11-2919051,ENTE-SPO-IPL-10,ENTERTAINMENT,SPORTS,CRICKET,IPL,1,10,750,0,2018-08-04 12:30:06
1873,53-3693590,FOBV-CON-CHE-10,FOOD_BEVERAGES,CONTINENTAL,PASTA,CHEFCHOICE,1,10,200,0,2019-01-29 07:01:05
1874,01-1794061,REAP-COS-RED-10,RETAIL_APPAREL,COSMETICS,LIPSTICK,REDLIPS,1,10,750,1,2019-04-24 21:34:43
1875,24-0466442,TRAV-AIR-IND-50,TRAVEL,AIR,INTERNATIONAL,INDIGO,1,50,44000,0,2021-09-21 16:49:10
1876,18-2333910,TRAV-WAT-M2M-20,TRAVEL,WATER,FERRI,M2M,0,20,8450,0,2018-06-23 11:17:20
1877,91-5790647,ENTE-MOV-MOV-25,ENTERTAINMENT,MOVIE,ENGLISH,MOVIETIME,1,25,1650,1,2020-04-28 22:03:09
1878,52-6968368,ELEC-BIG-SAM-40,ELECTRONIC,BIGAPPLIANCES,TV,SAMSUNG,1,40,4450,0,2019-12-27 07:06:27
1879,64-9870152,TRAV-ROA-TOM-50,TRAVEL,ROAD,BUS,TOM&COOKS,1,50,47850,0,2020-08-15 01:43:42
